timeofyear,houseage,distMRT,stores,latitude,longitude,price
2013.417,33.6,371.2495,8,24.97254,121.54059,41.9
2012.917,32.0,84.87882,10,24.98298,121.54024,37.9
2013.167,39.8,617.7134,2,24.97577,121.53475,39.6
2013.417,6.4,90.45606,9,24.97433,121.5431,59.5
2013.083,7.1,451.2438,5,24.97563,121.54694,57.1
2013.5,13.9,4079.418,0,25.01459,121.51816,27.3
2013.417,32.8,204.1705,8,24.98236,121.53923,48.2
2012.833,3.4,56.47425,7,24.95744,121.53711,54.4
2013.167,1.9,372.1386,7,24.97293,121.54026,40.5
2013.417,38.5,216.8329,7,24.98086,121.54162,41.0
2013.417,,289.3248,5,24.98203,121.54348,51.0
2013.333,9.0,1402.016,0,24.98569,121.5276,38.5
2013.417,0.0,292.9978,6,24.97744,121.54458,63.3
2013.083,,274.0144,1,24.9748,121.53059,43.5
2013.083,15.6,1756.411,2,24.9832,121.51812,27.3
2013.083,13.2,150.9347,7,24.96725,121.54252,48.1
2013.083,,617.4424,3,24.97746,121.53299,34.6
2013.0,8.1,104.8101,5,24.96674,121.54067,52.5
2013.083,35.5,640.7391,3,24.97563,121.53715,40.8
2013.167,18.2,2179.59,3,24.96299,121.51252,21.8
2013.333,,1360.139,1,24.95204,121.54842,28.9
2013.25,1.1,193.5845,6,24.96571,121.54089,49.0
2013.5,,2288.011,3,24.95885,121.51359,23.2
2012.75,0.0,338.9679,9,24.96853,121.54413,50.8
2013.583,32.5,424.5442,8,24.97587,121.53913,36.3
2013.5,5.3,259.6607,6,24.97585,121.54516,63.2
2013.167,,57.58945,7,24.9675,121.54069,42.7
2013.25,3.8,383.8624,5,24.98085,121.54391,55.0
2013.417,11.9,3171.329,0,25.00115,121.51776,46.6
2012.667,,143.8383,8,24.98155,121.54142,53.3
2012.833,5.9,90.45606,9,24.97433,121.5431,52.7
2013.333,7.1,379.5575,10,24.98343,121.53762,49.8
2013.167,21.3,537.7971,4,24.97425,121.53814,42.2
2013.0,13.6,4197.349,0,24.93885,121.50383,13.0
2013.5,5.2,390.5684,5,24.97937,121.54245,52.2
2013.583,16.4,1643.499,2,24.95394,121.55174,24.7
2012.75,,512.7871,6,24.98748,121.54301,34.1
2013.25,9.1,1402.016,0,24.98569,121.5276,42.3
2013.0,39.6,480.6977,4,24.97353,121.53885,38.8
2013.25,,184.3302,6,24.96581,121.54086,45.4
2013.167,3.6,373.8389,10,24.98322,121.53765,61.9
2013.167,,718.2937,3,24.97509,121.53644,55.3
2013.583,35.9,640.7391,3,24.97563,121.53715,61.5
2012.833,34.7,482.7581,5,24.97433,121.53863,41.1
2012.667,20.2,2185.128,3,24.96322,121.51237,22.8
2013.417,17.4,995.7554,0,24.96305,121.54915,25.5
2013.25,10.4,276.449,5,24.95593,121.53913,33.6
2013.5,4.9,387.7721,9,24.98118,121.53788,44.7
2012.833,15.7,815.9314,4,24.97886,121.53464,38.1
2012.75,15.4,205.367,7,24.98419,121.54243,55.1
2013.0,,461.1016,5,24.95425,121.5399,32.9
2013.25,,444.1334,1,24.97501,121.5273,43.9
2013.0,13.0,750.0704,2,24.97371,121.54951,37.0
2013.0,13.2,492.2313,5,24.96515,121.53737,42.3
2013.5,13.6,492.2313,5,24.96515,121.53737,48.0
2013.25,,1157.988,0,24.96165,121.55011,23.8
2013.5,26.4,335.5273,6,24.9796,121.5414,38.1
2013.417,21.7,463.9623,9,24.9703,121.54458,42.0
2012.75,14.2,1801.544,1,24.95153,121.55254,24.8
2013.0,18.3,82.88643,10,24.983,121.54026,46.6
2013.0,30.8,377.7956,6,24.96427,121.53964,36.8
2013.333,37.3,587.8877,8,24.97077,121.54634,37.4
2012.917,38.3,642.6985,3,24.97559,121.53713,31.5
2013.167,10.0,942.4664,0,24.97843,121.52406,43.5
2013.167,27.5,394.0173,7,24.97305,121.53994,41.0
2012.667,,492.2313,5,24.96515,121.53737,42.5
2012.667,20.4,2469.645,4,24.96108,121.51046,23.8
2013.583,33.3,196.6172,7,24.97701,121.54224,39.4
2013.083,38.5,665.0636,3,24.97503,121.53692,34.2
2013.5,13.5,2147.376,3,24.96299,121.51284,23.6
2013.083,,189.5181,8,24.97707,121.54308,47.1
2012.833,5.1,1867.233,2,24.98407,121.51748,35.6
2013.083,12.8,732.8528,0,24.97668,121.52518,40.6
2013.25,17.0,1485.097,4,24.97073,121.517,30.7
2012.917,13.7,1236.564,1,24.97694,121.55391,30.6
2012.75,31.4,1447.286,3,24.97285,121.5173,21.5
2013.583,27.3,337.6016,6,24.96431,121.54063,36.5
2013.5,,1583.722,3,24.96622,121.51709,30.6
2012.75,29.6,769.4034,7,24.98281,121.53408,25.0
2012.75,,104.8101,5,24.96674,121.54067,38.4
2012.667,34.9,179.4538,8,24.97349,121.54245,39.7
2013.333,16.4,289.3248,5,24.98203,121.54348,41.2
2012.75,14.1,2615.465,0,24.95495,121.56174,21.8
2013.417,24.2,4605.749,0,24.94684,121.49578,13.4
2013.167,11.6,201.8939,8,24.98489,121.54121,55.9
2012.917,3.5,56.47425,7,24.95744,121.53711,53.5
2013.0,22.8,707.9067,2,24.981,121.54713,36.6
2013.583,,318.5292,9,24.97071,121.54069,78.0
2013.083,6.2,90.45606,9,24.97433,121.5431,58.0
2013.583,6.6,90.45606,9,24.97433,121.5431,59.0
2013.25,18.8,390.9696,7,24.97923,121.53986,40.6
2013.083,,395.6747,5,24.95674,121.534,24.5
2013.333,12.2,1360.139,1,24.95204,121.54842,26.6
2013.5,13.3,561.9845,5,24.98746,121.54391,54.8
2012.667,37.1,918.6357,1,24.97198,121.55063,31.9
2013.25,16.5,323.655,6,24.97841,121.54281,49.3
2013.417,31.5,5512.038,1,24.95095,121.48458,17.4
2012.833,18.0,373.3937,8,24.9866,121.54082,39.5
2012.75,3.2,489.8821,8,24.97017,121.54494,43.2
2013.083,16.2,289.3248,5,24.98203,121.54348,55.0
2013.083,41.3,124.9912,6,24.96674,121.54039,60.7
2012.917,21.2,512.5487,4,24.974,121.53842,42.5
2013.5,12.3,1360.139,1,24.95204,121.54842,29.5
2013.167,1.1,193.5845,6,24.96571,121.54089,48.6
2012.75,15.9,289.3248,5,24.98203,121.54348,42.1
2013.5,,2408.993,0,24.95505,121.55964,24.7
2013.25,34.6,272.6783,5,24.95562,121.53872,26.9
2012.917,2.0,1455.798,1,24.9512,121.549,25.6
2013.167,13.2,750.0704,2,24.97371,121.54951,37.8
2013.417,19.2,616.4004,3,24.97723,121.53767,39.6
